name,student_id,age,gender,attendance,scholarship,co_curricular_activities,marks,assignment_submission,debtor,displaced,income,prediction
Vanya,S716,14,Female,96,Yes,Yes,76,Yes,No,No,190831,Low
Vansh,S717,13,Male,91,Yes,No,73,Yes,No,No,154393,Low
Jasleen,S718,13,Female,88,Yes,Yes,96,Yes,No,No,135475,Low
Myra,S719,14,Female,95,Yes,No,88,Yes,No,No,234580,Low
Jia,S720,13,Female,78,No,No,63,Half,Yes,No,94712,Medium
Rudransh,S721,13,Male,91,Yes,No,73,Yes,No,No,162926,Low
Shivansh,S722,14,Male,59,No,No,38,No,Yes,Yes,61800,High
Krishna,S723,15,Male,97,Yes,No,96,Yes,No,No,197711,Low
Pari,S724,11,Female,69,No,No,40,Half,Yes,Yes,61746,High
Harsh,S725,11,Male,82,Yes,Yes,87,Yes,No,No,139188,Low
Rudra,S726,12,Male,88,Yes,Yes,84,Yes,No,No,227506,Low
Fiza,S727,12,Female,70,No,No,54,Half,No,No,113683,Medium
Tanaya,S728,13,Female,98,Yes,Yes,76,Yes,No,No,147716,Low
Harsh,S729,14,Male,61,No,No,38,Half,Yes,Yes,72033,High
Wasim,S730,13,Male,97,Yes,No,86,Yes,No,No,199053,Low
Kiara,S731,15,Female,82,Yes,Yes,73,Yes,No,No,171264,Low
Aayush,S732,10,Male,57,No,No,38,Half,Yes,Yes,66370,High
Reyan,S733,10,Male,77,No,No,64,Half,No,No,123550,Medium
Diya,S734,11,Female,91,Yes,No,74,Yes,No,No,207638,Low
Sanya,S735,10,Female,71,No,Yes,54,Half,Yes,No,95977,Medium
Reyansh,S736,14,Male,74,No,Yes,58,Half,Yes,No,100725,Medium
Devanshi,S737,14,Female,63,No,No,35,No,Yes,Yes,74251,High
Gargi,S738,12,Female,63,No,No,40,Half,Yes,Yes,62803,High
Manan,S739,12,Male,77,No,No,57,Half,No,No,90801,Medium
Aryan,S740,10,Male,89,Yes,Yes,79,Yes,No,No,224525,Low
Elan,S741,13,Male,65,No,No,47,Half,Yes,Yes,64420,High
Nitya,S742,10,Female,81,Yes,No,89,Yes,No,No,167092,Low
Ananya,S743,14,Female,80,No,Yes,63,Half,No,No,108795,Medium
Zaid,S744,13,Male,74,No,No,57,Half,Yes,No,103574,Medium
Arnav,S745,15,Male,82,Yes,No,93,Yes,No,No,190770,Low
Elan,S746,15,Male,66,No,No,40,Half,Yes,Yes,63810,High
Aanya,S747,11,Female,82,Yes,Yes,77,Yes,No,No,192275,Low
Jia,S748,14,Female,91,Yes,Yes,82,Yes,No,No,179290,Low
Rajveer,S749,12,Male,96,Yes,Yes,90,Yes,No,No,234808,Low
Wasim,S750,13,Male,73,No,Yes,64,Half,No,No,124094,Medium
Arnav,S751,10,Male,57,No,No,39,Half,Yes,Yes,76921,High
Aarush,S752,14,Male,70,No,Yes,55,Half,Yes,No,98617,Medium
Fiza,S753,15,Female,66,No,No,45,No,Yes,Yes,56346,High
Larisa,S754,10,Female,80,Yes,Yes,89,Yes,No,No,226986,Low
Ayaan,S755,14,Male,83,Yes,Yes,92,Yes,No,No,189029,Low
Bhuvan,S756,11,Male,77,No,Yes,53,Half,No,No,117738,Medium
Jasleen,S757,13,Female,80,Yes,Yes,93,Yes,No,No,163774,Low
Kashvi,S758,11,Female,79,No,No,62,Half,Yes,No,112365,Medium
Bhanu,S759,12,Male,57,No,No,39,No,Yes,Yes,76345,High
Mahika,S760,11,Female,61,No,No,43,Half,Yes,Yes,76580,High
Nishtha,S761,14,Female,84,Yes,No,81,Yes,No,No,192556,Low
Parth,S762,10,Male,78,No,No,58,Half,No,No,111972,Medium
Kiaan,S763,14,Male,66,No,No,46,Half,Yes,Yes,67500,High
Tejas,S764,12,Male,97,Yes,Yes,73,Yes,No,No,221517,Low
Esha,S765,12,Female,87,Yes,No,90,Yes,No,No,221015,Low
Tanaya,S766,14,Female,98,Yes,Yes,89,Yes,No,No,202038,Low
Nitya,S767,10,Female,57,No,No,43,Half,Yes,Yes,57532,High
Wasim,S768,11,Male,73,No,Yes,56,Half,No,No,120989,Medium
Ayaan,S769,15,Male,58,No,No,39,Half,Yes,Yes,67474,High
Atharv,S770,14,Male,75,No,No,58,Half,No,No,96670,Medium
Riya,S771,14,Female,63,No,No,35,Half,Yes,Yes,58045,High
Gargi,S772,10,Female,60,No,No,39,No,Yes,Yes,55925,High
Navya,S773,12,Female,69,No,Yes,65,Half,No,No,116164,Medium
Ananya,S774,12,Female,71,No,Yes,65,Half,Yes,No,93958,Medium
Yatin,S775,11,Male,81,Yes,No,72,Yes,No,No,227569,Low
Shaurya,S776,15,Male,94,Yes,No,92,Yes,No,No,203342,Low
Ushna,S777,13,Female,84,Yes,Yes,87,Yes,No,No,202008,Low
Fiza,S778,14,Female,66,No,No,37,No,Yes,Yes,74737,High
Zara,S779,11,Female,69,No,Yes,59,Half,No,No,105468,Medium
Sanya,S780,12,Female,56,No,No,41,No,Yes,Yes,71749,High
Elakshi,S781,13,Female,69,No,Yes,58,Half,No,No,93043,Medium
Kiara,S782,14,Female,79,No,No,64,Half,Yes,No,127483,Medium
Navya,S783,11,Female,62,No,No,36,No,Yes,Yes,58112,High
Aarohi,S784,10,Female,79,No,No,65,Half,Yes,No,116269,Medium
Zaid,S785,14,Male,95,Yes,Yes,79,Yes,No,No,211378,Low
Wasim,S786,11,Male,70,No,No,66,Half,Yes,No,109180,Medium
Dhruv,S787,11,Male,64,No,No,40,Half,Yes,Yes,70912,High
Aditi,S788,14,Female,80,No,No,56,Half,Yes,No,97657,Medium
Riya,S789,14,Female,96,Yes,Yes,91,Yes,No,No,212808,Low
Kiaan,S790,11,Male,94,Yes,Yes,73,Yes,No,No,189905,Low
Ojas,S791,14,Male,88,Yes,Yes,91,Yes,No,No,187071,Low
Daksh,S792,13,Male,86,Yes,No,77,Yes,No,No,209617,Low
Navya,S793,12,Female,89,Yes,Yes,87,Yes,No,No,191312,Low
Kashvi,S794,15,Female,76,No,No,61,Half,Yes,No,100515,Medium
Arnav,S795,14,Male,60,No,No,37,Half,Yes,Yes,66238,High
Kartik,S796,11,Male,89,Yes,Yes,84,Yes,No,No,137140,Low
Ananya,S797,15,Female,88,Yes,No,85,Yes,No,No,212104,Low
Yuvraj,S798,15,Male,91,Yes,Yes,74,Yes,No,No,234182,Low
Aryan,S799,14,Male,78,No,Yes,54,Half,Yes,No,102493,Medium
Charvi,S800,15,Female,69,No,No,54,Half,Yes,No,111436,Medium
Gargi,S801,11,Female,85,Yes,Yes,90,Yes,No,No,151441,Low
Siya,S802,12,Female,79,No,Yes,62,Half,No,No,115888,Medium
Faiz,S803,10,Male,72,No,No,58,Half,Yes,No,120767,Medium
Elakshi,S804,15,Female,59,No,No,37,Half,Yes,Yes,67833,High
Rudransh,S805,11,Male,88,Yes,Yes,90,Yes,No,No,207075,Low
Janya,S806,12,Female,88,Yes,Yes,86,Yes,No,No,181054,Low
Ridhi,S807,14,Female,98,Yes,Yes,91,Yes,No,No,218535,Low
Avni,S808,14,Female,84,Yes,Yes,80,Yes,No,No,221719,Low
Damini,S809,12,Female,73,No,No,53,Half,No,No,93732,Medium
Veer,S810,15,Male,76,No,No,64,Half,No,No,93917,Medium
Naman,S811,10,Male,61,No,No,46,No,Yes,Yes,66929,High
Yuvraj,S812,15,Male,60,No,No,38,Half,Yes,Yes,73738,High
Oviya,S813,10,Female,75,No,Yes,55,Half,Yes,No,120938,Medium
Ridhi,S814,11,Female,59,No,No,38,Half,Yes,Yes,57144,High
Chhavi,S815,15,Female,67,No,No,40,Half,Yes,Yes,55166,High
Urvi,S816,15,Female,64,No,No,40,No,Yes,Yes,63094,High
Siya,S817,11,Female,93,Yes,Yes,76,Yes,No,No,192555,Low
Aryan,S818,11,Male,70,No,Yes,62,Half,No,No,97267,Medium
Vanya,S819,13,Female,69,No,No,40,Half,Yes,Yes,68250,High
Chhavi,S820,11,Female,86,Yes,Yes,72,Yes,No,No,138184,Low
Advik,S821,11,Male,98,Yes,No,93,Yes,No,No,196228,Low
Amaira,S822,13,Female,55,No,No,40,Half,Yes,Yes,73264,High
Darsh,S823,15,Male,66,No,No,36,No,Yes,Yes,68454,High
Ishita,S824,15,Female,71,No,Yes,65,Half,No,No,107956,Medium
Feba,S825,11,Female,87,Yes,No,85,Yes,No,No,189774,Low
Amaira,S826,15,Female,85,Yes,Yes,92,Yes,No,No,159597,Low
Reyansh,S827,15,Male,69,No,No,53,Half,No,No,91418,Medium
Ridhi,S828,10,Female,70,No,No,61,Half,Yes,No,125319,Medium
Idika,S829,11,Female,57,No,No,35,Half,Yes,Yes,73817,High
Trisha,S830,10,Female,94,Yes,Yes,92,Yes,No,No,151796,Low
Anika,S831,14,Female,67,No,No,43,No,Yes,Yes,68346,High
Darsh,S832,14,Male,85,Yes,Yes,87,Yes,No,No,179961,Low
Chhavi,S833,10,Female,57,No,No,41,No,Yes,Yes,73537,High
Shivansh,S834,10,Male,80,Yes,Yes,72,Yes,No,No,193906,Low
Vanya,S835,15,Female,81,Yes,No,81,Yes,No,No,138283,Low
Yug,S836,15,Male,81,Yes,Yes,86,Yes,No,No,135860,Low
Meher,S837,11,Female,69,No,No,41,No,Yes,Yes,69842,High
Naman,S838,11,Male,56,No,No,42,Half,Yes,Yes,74751,High
Xara,S839,14,Female,94,Yes,Yes,85,Yes,No,No,166235,Low
Aarav,S840,13,Male,62,No,No,35,Half,Yes,Yes,57353,High
Sanya,S841,14,Female,86,Yes,Yes,96,Yes,No,No,201705,Low
Palak,S842,14,Female,71,No,Yes,56,Half,No,No,98190,Medium
Vedant,S843,14,Male,76,No,No,53,Half,No,No,126628,Medium
Aarav,S844,13,Male,61,No,No,46,Half,Yes,Yes,57794,High
Avni,S845,11,Female,96,Yes,Yes,79,Yes,No,No,163312,Low
Divit,S846,14,Male,91,Yes,Yes,76,Yes,No,No,164689,Low
Ira,S847,15,Female,56,No,No,39,No,Yes,Yes,57789,High
Atharv,S848,11,Male,62,No,No,43,No,Yes,Yes,68991,High
Krishna,S849,10,Male,68,No,No,39,Half,Yes,Yes,68556,High
Larisa,S850,11,Female,79,No,No,59,Half,No,No,98287,Medium
Nishtha,S851,14,Female,88,Yes,No,81,Yes,No,No,208636,Low
Ira,S852,11,Female,68,No,No,42,No,Yes,Yes,57897,High
Zeenat,S853,13,Female,94,Yes,No,81,Yes,No,No,155390,Low
Bhuvan,S854,11,Male,73,No,No,60,Half,No,No,93476,Medium
Rajveer,S855,13,Male,94,Yes,No,77,Yes,No,No,223080,Low
Ayaan,S856,15,Male,68,No,No,44,Half,Yes,Yes,66024,High
Qiara,S857,13,Female,94,Yes,Yes,86,Yes,No,No,216002,Low
Palak,S858,13,Female,94,Yes,Yes,73,Yes,No,No,163802,Low
Esha,S859,13,Female,62,No,No,44,No,Yes,Yes,71856,High
Advait,S860,13,Male,60,No,No,48,Half,Yes,Yes,58705,High
Pari,S861,13,Female,86,Yes,No,90,Yes,No,No,154441,Low
Ivy,S862,11,Female,63,No,No,39,No,Yes,Yes,68991,High
Pari,S863,13,Female,85,Yes,Yes,76,Yes,No,No,144407,Low
Aadi,S864,14,Male,74,No,No,61,Half,No,No,99571,Medium
Ikshan,S865,11,Male,71,No,No,63,Half,No,No,116874,Medium
Daksh,S866,12,Male,77,No,Yes,63,Half,No,No,98266,Medium
Aanya,S867,15,Female,56,No,No,41,Half,Yes,Yes,68196,High
Ishita,S868,12,Female,65,No,No,42,Half,Yes,Yes,55090,High
Vihaan,S869,14,Male,67,No,No,37,No,Yes,Yes,61545,High
Aryan,S870,12,Male,73,No,No,58,Half,No,No,115583,Medium
Dhruv,S871,11,Male,65,No,No,38,No,Yes,Yes,66582,High
Shaurya,S872,15,Male,59,No,No,40,Half,Yes,Yes,61287,High
Chinmay,S873,14,Male,89,Yes,Yes,96,Yes,No,No,215906,Low
Shaurya,S874,12,Male,69,No,No,56,Half,No,No,127492,Medium
Fahad,S875,11,Male,78,No,No,54,Half,No,No,95264,Medium
Ojas,S876,11,Male,74,No,Yes,64,Half,No,No,127486,Medium
Daksh,S877,15,Male,73,No,Yes,61,Half,No,No,100220,Medium
Devanshi,S878,13,Female,67,No,No,41,Half,Yes,Yes,55633,High
Shaurya,S879,15,Male,66,No,No,46,Half,Yes,Yes,70733,High
Navya,S880,10,Female,74,No,Yes,56,Half,No,No,119619,Medium
Ira,S881,15,Female,83,Yes,No,80,Yes,No,No,167716,Low
Vihaan,S882,12,Male,75,No,Yes,62,Half,Yes,No,92067,Medium
Parth,S883,10,Male,96,Yes,Yes,72,Yes,No,No,226633,Low
Aadhya,S884,10,Female,64,No,No,45,No,Yes,Yes,67289,High
Esha,S885,12,Female,91,Yes,No,80,Yes,No,No,187891,Low
Chhavi,S886,10,Female,73,No,No,59,Half,No,No,98830,Medium
Prithvi,S887,10,Male,66,No,No,39,Half,Yes,Yes,73366,High
Daksh,S888,15,Male,64,No,No,36,No,Yes,Yes,70573,High
Ivy,S889,13,Female,80,No,Yes,59,Half,No,No,124446,Medium
Dev,S890,12,Male,91,Yes,Yes,78,Yes,No,No,176203,Low
Yashvi,S891,11,Female,77,No,Yes,57,Half,No,No,111256,Medium
Leela,S892,12,Female,79,No,Yes,65,Half,Yes,No,105996,Medium
Esha,S893,10,Female,84,Yes,No,75,Yes,No,No,152890,Low
Aarav,S894,14,Male,57,No,No,36,No,Yes,Yes,62437,High
Atharv,S895,11,Male,56,No,No,38,No,Yes,Yes,59540,High
Dhruv,S896,13,Male,81,Yes,Yes,74,Yes,No,No,196460,Low
Chitra,S897,10,Female,70,No,Yes,54,Half,Yes,No,101694,Medium
Jasleen,S898,14,Female,85,Yes,No,76,Yes,No,No,152123,Low
Vaidehi,S899,14,Female,65,No,No,38,No,Yes,Yes,76385,High
Darsh,S900,13,Male,87,Yes,No,78,Yes,No,No,151283,Low
Naman,S901,13,Male,82,Yes,Yes,77,Yes,No,No,217442,Low
Zaid,S902,15,Male,96,Yes,Yes,94,Yes,No,No,212079,Low
Hiya,S903,15,Female,77,No,No,62,Half,No,No,119253,Medium
Fahad,S904,13,Male,70,No,No,63,Half,Yes,No,104820,Medium
Aanya,S905,10,Female,76,No,Yes,58,Half,No,No,126745,Medium
Harsh,S906,13,Male,69,No,No,63,Half,No,No,112969,Medium
Nishtha,S907,13,Female,94,Yes,No,96,Yes,No,No,160065,Low
Reyansh,S908,13,Male,62,No,No,40,No,Yes,Yes,76222,High
Krishna,S909,10,Male,71,No,Yes,64,Half,Yes,No,112566,Medium
Yug,S910,14,Male,73,No,No,58,Half,No,No,90593,Medium
Ishita,S911,12,Female,76,No,No,62,Half,No,No,101539,Medium
Aarohi,S912,15,Female,86,Yes,No,90,Yes,No,No,161501,Low
Jatin,S913,11,Male,76,No,No,64,Half,Yes,No,95804,Medium
Ivy,S914,10,Female,84,Yes,Yes,76,Yes,No,No,203723,Low
Divit,S915,13,Male,68,No,No,38,No,Yes,Yes,63288,High
Manan,S916,14,Male,63,No,No,37,No,Yes,Yes,65075,High
Harsh,S906,13,Male,69,No,No,63,Half,No,No,112969,Medium
Nishtha,S907,13,Female,94,Yes,No,96,Yes,No,No,160065,Low
Reyansh,S908,13,Male,62,No,No,40,No,Yes,Yes,76222,High
Krishna,S909,10,Male,71,No,Yes,64,Half,Yes,No,112566,Medium
Yug,S910,14,Male,73,No,No,58,Half,No,No,90593,Medium
Ishita,S911,12,Female,76,No,No,62,Half,No,No,101539,Medium
Aarohi,S912,15,Female,86,Yes,No,90,Yes,No,No,161501,Low
Jatin,S913,11,Male,76,No,No,64,Half,Yes,No,95804,Medium
Ivy,S914,10,Female,84,Yes,Yes,76,Yes,No,No,203723,Low
Divit,S915,13,Male,68,No,No,38,No,Yes,Yes,63288,High
Manan,S916,14,Male,63,No,No,37,No,Yes,Yes,65075,High
Ayaan,S917,14,Male,91,Yes,Yes,96,Yes,No,No,201850,Low
Larisa,S918,11,Female,83,Yes,Yes,74,Yes,No,No,147073,Low
Prisha,S919,10,Female,98,Yes,No,75,Yes,No,No,183731,Low
Gagan,S920,11,Male,77,No,Yes,55,Half,No,No,104776,Medium
Eshani,S921,10,Female,78,No,Yes,65,Half,Yes,No,118840,Medium
Leela,S922,13,Female,98,Yes,Yes,77,Yes,No,No,206675,Low
Ishita,S923,11,Female,74,No,No,53,Half,No,No,102392,Medium
Fiza,S924,12,Female,69,No,Yes,63,Half,Yes,No,93041,Medium
Sanya,S925,14,Female,58,No,No,38,No,Yes,Yes,70009,High
Sahil,S926,12,Male,80,Yes,No,82,Yes,No,No,207811,Low
Manan,S927,13,Male,60,No,No,38,No,Yes,Yes,75650,High
Kiara,S928,12,Female,63,No,No,46,Half,Yes,Yes,76488,High
Meher,S929,11,Female,97,Yes,Yes,87,Yes,No,No,188378,Low
Aadhya,S930,14,Female,83,Yes,Yes,89,Yes,No,No,135448,Low
Dhruv,S931,12,Male,83,Yes,Yes,86,Yes,No,No,204682,Low
Kashvi,S932,11,Female,60,No,No,44,Half,Yes,Yes,56706,High
Vansh,S933,11,Male,81,Yes,No,93,Yes,No,No,234965,Low
Feba,S934,13,Female,80,No,Yes,63,Half,No,No,94732,Medium
Bhuvan,S935,15,Male,62,No,No,46,No,Yes,Yes,60728,High
Meher,S936,11,Female,72,No,Yes,59,Half,Yes,No,95530,Medium
Nishtha,S937,13,Female,64,No,No,49,Half,Yes,Yes,67282,High
Hemlata,S938,11,Female,79,No,Yes,63,Half,No,No,92766,Medium
Chinmay,S939,14,Male,93,Yes,No,77,Yes,No,No,233276,Low
Neel,S940,13,Male,91,Yes,No,96,Yes,No,No,170090,Low
Amaira,S941,15,Female,71,No,Yes,57,Half,Yes,No,123655,Medium
Nirvaan,S942,12,Male,80,Yes,Yes,88,Yes,No,No,209458,Low
Gargi,S943,10,Female,80,No,No,56,Half,Yes,No,102880,Medium
Yash,S944,11,Male,56,No,No,39,No,Yes,Yes,69762,High
Ivy,S945,10,Female,98,Yes,No,94,Yes,No,No,165256,Low
Reyan,S946,13,Male,68,No,No,36,Half,Yes,Yes,57935,High
Chitra,S947,15,Female,69,No,No,59,Half,No,No,102280,Medium
Bhairavi,S948,12,Female,95,Yes,Yes,81,Yes,No,No,148840,Low
Ushna,S949,12,Female,84,Yes,Yes,85,Yes,No,No,202716,Low
Navya,S950,15,Female,56,No,No,42,Half,Yes,Yes,76494,High
Kiaan,S951,12,Male,90,Yes,Yes,75,Yes,No,No,199474,Low
Reyan,S952,10,Male,75,No,No,57,Half,No,No,101755,Medium
Warda,S953,11,Female,72,No,Yes,59,Half,Yes,No,97551,Medium
Ojas,S954,11,Male,76,No,No,65,Half,Yes,No,117147,Medium
Zara,S955,15,Female,69,No,No,42,No,Yes,Yes,74399,High
Divit,S956,13,Male,80,No,Yes,59,Half,Yes,No,110219,Medium
Vihaan,S957,11,Male,82,Yes,Yes,73,Yes,No,No,214065,Low
Nishtha,S958,11,Female,73,No,No,61,Half,Yes,No,127211,Medium
Urvi,S959,15,Female,64,No,No,48,No,Yes,Yes,55280,High
Hrithik,S960,13,Male,75,No,No,64,Half,Yes,No,126116,Medium
Damini,S961,15,Female,75,No,No,57,Half,No,No,97091,Medium
Kashvi,S962,11,Female,92,Yes,Yes,87,Yes,No,No,167655,Low
Arjav,S963,12,Male,78,No,No,56,Half,Yes,No,117917,Medium
Rajveer,S964,10,Male,62,No,No,46,No,Yes,Yes,69073,High
Fiza,S965,10,Female,78,No,Yes,53,Half,Yes,No,124890,Medium
Yug,S966,13,Male,65,No,No,46,No,Yes,Yes,64932,High
Aarohi,S967,11,Female,65,No,No,49,No,Yes,Yes,74356,High
Aditi,S968,10,Female,91,Yes,Yes,89,Yes,No,No,172015,Low
Tanaya,S969,15,Female,92,Yes,Yes,78,Yes,No,No,168190,Low
Sahil,S970,10,Male,92,Yes,Yes,85,Yes,No,No,160298,Low
Trisha,S971,13,Female,63,No,No,38,No,Yes,Yes,58734,High
Kartik,S972,13,Male,83,Yes,No,73,Yes,No,No,167476,Low
Advait,S973,13,Male,59,No,No,41,No,Yes,Yes,68416,High
Zaid,S974,11,Male,73,No,Yes,59,Half,Yes,No,111833,Medium
Krishna,S975,12,Male,72,No,Yes,63,Half,Yes,No,92531,Medium
Yug,S976,12,Male,79,No,No,55,Half,Yes,No,93852,Medium
Aarush,S977,14,Male,69,No,No,49,Half,Yes,Yes,57294,High
Dhruv,S978,14,Male,80,Yes,Yes,90,Yes,No,No,173454,Low
Disha,S979,12,Female,56,No,No,41,No,Yes,Yes,68365,High
Reyan,S980,13,Male,84,Yes,Yes,94,Yes,No,No,193931,Low
Rohan,S981,12,Male,89,Yes,Yes,84,Yes,No,No,142442,Low
Jatin,S982,12,Male,65,No,No,49,No,Yes,Yes,72568,High
Madhav,S983,12,Male,55,No,No,48,Half,Yes,Yes,71839,High
Yuvraj,S984,14,Male,88,Yes,Yes,96,Yes,No,No,199307,Low
Urvi,S985,15,Female,80,No,No,60,Half,No,No,97614,Medium
Chinmay,S986,12,Male,61,No,No,37,Half,Yes,Yes,61185,High
Idika,S987,13,Female,98,Yes,Yes,76,Yes,No,No,161840,Low
Warda,S988,11,Female,70,No,No,56,Half,No,No,94789,Medium
Palak,S989,14,Female,56,No,No,35,No,Yes,Yes,61742,High
Feba,S990,15,Female,98,Yes,No,79,Yes,No,No,230228,Low
Yash,S991,12,Male,80,No,Yes,56,Half,No,No,124183,Medium
Xara,S992,10,Female,65,No,No,40,No,Yes,Yes,60889,High
Atharv,S993,14,Male,90,Yes,Yes,79,Yes,No,No,208441,Low
Neel,S994,11,Male,86,Yes,No,93,Yes,No,No,207802,Low
Ishita,S995,12,Female,73,No,Yes,55,Half,No,No,126103,Medium
Elan,S996,15,Male,57,No,No,44,Half,Yes,Yes,67290,High
Yatin,S997,11,Male,91,Yes,Yes,85,Yes,No,No,192703,Low
Aarush,S998,10,Male,73,No,Yes,64,Half,Yes,No,125570,Medium
Warda,S999,14,Female,62,No,No,38,Half,Yes,Yes,63146,High
Leela,S1000,12,Female,89,Yes,Yes,78,Yes,No,No,145594,Low
Charvi,S1001,15,Female,77,No,Yes,54,Half,No,No,126245,Medium
Siya,S1002,15,Female,60,No,No,43,No,Yes,Yes,57003,High
Yuvraj,S1003,15,Male,82,Yes,No,72,Yes,No,No,234278,Low
Lakshay,S1004,14,Male,88,Yes,Yes,79,Yes,No,No,147298,Low
Yug,S1005,13,Male,87,Yes,Yes,90,Yes,No,No,165881,Low
Rohan,S1006,11,Male,87,Yes,Yes,94,Yes,No,No,157364,Low
Zara,S1007,15,Female,80,No,Yes,65,Half,No,No,97678,Medium
Jatin,S1008,15,Male,73,No,Yes,63,Half,Yes,No,106000,Medium
Jatin,S1009,14,Male,59,No,No,35,No,Yes,Yes,74749,High
Neel,S1010,12,Male,85,Yes,Yes,80,Yes,No,No,142232,Low
Arnav,S1011,15,Male,61,No,No,35,No,Yes,Yes,73324,High
Aayush,S1012,10,Male,91,Yes,Yes,88,Yes,No,No,142726,Low
Kiaan,S1013,14,Male,65,No,No,39,No,Yes,Yes,60665,High
Gagan,S1014,13,Male,66,No,No,38,No,Yes,Yes,65037,High
Bhuvan,S1015,12,Male,87,Yes,No,88,Yes,No,No,215554,Low
Myra,S1016,13,Female,90,Yes,Yes,93,Yes,No,No,145895,Low
Ridhi,S1017,10,Female,93,Yes,Yes,76,Yes,No,No,149177,Low
Charvak,S1018,13,Male,96,Yes,Yes,81,Yes,No,No,168927,Low
Gagan,S1019,12,Male,94,Yes,No,73,Yes,No,No,194434,Low
Krishna,S1020,12,Male,94,Yes,Yes,83,Yes,No,No,145083,Low
Elan,S1021,14,Male,95,Yes,No,77,Yes,No,No,164704,Low
Darsh,S1022,10,Male,87,Yes,No,84,Yes,No,No,182841,Low
Tanaya,S1023,15,Female,93,Yes,No,77,Yes,No,No,162307,Low
Advik,S1024,15,Male,56,No,No,44,Half,Yes,Yes,55582,High
Vanya,S1025,11,Female,69,No,No,47,Half,Yes,Yes,59690,High
Ira,S1026,12,Female,88,Yes,Yes,76,Yes,No,No,172295,Low
Vedant,S1027,12,Male,79,No,No,55,Half,Yes,No,106884,Medium
Vaidehi,S1028,14,Female,71,No,Yes,62,Half,Yes,No,100634,Medium
Jasleen,S1029,12,Female,96,Yes,Yes,74,Yes,No,No,164293,Low
Ridhi,S1030,15,Female,63,No,No,38,Half,Yes,Yes,65456,High
Nirvaan,S1031,15,Male,56,No,No,41,Half,Yes,Yes,66629,High
Jia,S1032,12,Female,73,No,No,61,Half,Yes,No,97549,Medium
Sanya,S1033,11,Female,86,Yes,No,84,Yes,No,No,233299,Low
Reyansh,S1034,13,Male,75,No,No,55,Half,Yes,No,101063,Medium
Sahil,S1035,14,Male,59,No,No,44,No,Yes,Yes,69527,High
Idika,S1036,11,Female,82,Yes,Yes,81,Yes,No,No,200584,Low
Yuvraj,S1037,15,Male,98,Yes,Yes,95,Yes,No,No,175721,Low
Hemlata,S1038,11,Female,66,No,No,36,No,Yes,Yes,72876,High
Xara,S1039,12,Female,84,Yes,Yes,93,Yes,No,No,211422,Low
Elakshi,S1040,13,Female,96,Yes,Yes,74,Yes,No,No,201762,Low
Naman,S1041,15,Male,61,No,No,44,Half,Yes,Yes,63768,High
Aayush,S1042,12,Male,79,No,Yes,60,Half,No,No,111097,Medium
Hemlata,S1043,10,Female,79,No,Yes,59,Half,Yes,No,102278,Medium
Devanshi,S1044,11,Female,89,Yes,Yes,91,Yes,No,No,180362,Low
Aarush,S1045,13,Male,67,No,No,40,Half,Yes,Yes,64217,High
Tanish,S1046,12,Male,79,No,No,65,Half,No,No,113265,Medium
Reyan,S1047,12,Male,61,No,No,48,Half,Yes,Yes,55564,High
Divit,S1048,11,Male,90,Yes,Yes,94,Yes,No,No,148660,Low
Rudransh,S1049,14,Male,71,No,Yes,66,Half,No,No,120206,Medium
Kiara,S1050,15,Female,60,No,No,47,Half,Yes,Yes,67378,High
Nirvaan,S1051,13,Male,83,Yes,Yes,91,Yes,No,No,176069,Low
Kashvi,S1052,15,Female,76,No,No,64,Half,No,No,112927,Medium
Aditi,S1053,11,Female,80,No,No,60,Half,Yes,No,98886,Medium
Gauri,S1054,12,Female,83,Yes,Yes,85,Yes,No,No,167881,Low
Wasim,S1055,10,Male,90,Yes,Yes,81,Yes,No,No,207143,Low
Utkarsh,S1056,11,Male,82,Yes,Yes,88,Yes,No,No,192893,Low
Rhea,S1057,11,Female,67,No,No,49,No,Yes,Yes,67753,High
Devanshi,S1058,13,Female,98,Yes,Yes,78,Yes,No,No,163730,Low
Hrithik,S1059,13,Male,61,No,No,38,No,Yes,Yes,57967,High
Hiya,S1060,12,Female,78,No,No,58,Half,Yes,No,107176,Medium
Zara,S1061,15,Female,80,No,No,62,Half,No,No,124015,Medium
Tejas,S1062,11,Male,66,No,No,44,Half,Yes,Yes,61866,High
Prithvi,S1063,10,Male,63,No,No,37,Half,Yes,Yes,75807,High
Ahaan,S1064,11,Male,81,Yes,Yes,89,Yes,No,No,176507,Low
Ananya,S1065,15,Female,81,Yes,Yes,83,Yes,No,No,228668,Low
Atharv,S1066,11,Male,86,Yes,Yes,74,Yes,No,No,225971,Low
Advait,S1067,15,Male,69,No,No,40,Half,Yes,Yes,72419,High
Ira,S1068,10,Female,89,Yes,Yes,91,Yes,No,No,204802,Low
Gauri,S1069,14,Female,72,No,Yes,59,Half,Yes,No,125766,Medium
Bhuvan,S1070,12,Male,60,No,No,49,Half,Yes,Yes,64743,High
Larisa,S1071,13,Female,78,No,Yes,63,Half,No,No,98996,Medium
Utkarsh,S1072,13,Male,67,No,No,45,Half,Yes,Yes,71126,High
Aanya,S1073,13,Female,61,No,No,43,No,Yes,Yes,74387,High
Ridhi,S1074,11,Female,57,No,No,40,Half,Yes,Yes,72763,High
